solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
556_4_187,556,4,187,1876.0,1764.8,,,,,-inf,False,timeout,
552_2_198,552,2,198,946.0,890.8,,,,,-inf,False,timeout,
666_5_81,666,5,81,1795.0,1628.5,,,,,-inf,False,timeout,
556_19_72,556,19,72,8911.0,8382.8,36.62,6.19,37.2,7.46,-inf,False,surface clearance too low,8.5
552_4_81,552,4,81,1892.0,1781.6,56.42,3.68,0.59,80.65,-inf,False,seabed clearance too low,15.4
554_19_198,554,19,198,8949.0,8422.7,,,,,-inf,False,timeout,
552_14_198,552,14,198,6622.0,6235.6,,,,,-inf,False,timeout,
490_6_198,490,6,198,3210.0,3063.0,,,,,-inf,False,timeout,
329_19_198,329,19,198,13224.0,12911.45,,,,,-inf,False,timeout,
555_9_198,555,9,198,4230.0,3980.25,,,,,-inf,False,timeout,
552_15_81,552,15,81,7095.0,6681.0,43.12,5.29,24.58,27.69,-463.25,True,,11.1
552_10_81,552,10,81,4730.0,4454.0,46.16,3.9,18.59,48.9,40.37,True,,11.2
490_3_129,490,3,129,1605.0,1531.5,,,,,-inf,False,timeout,
552_5_171,552,5,171,2365.0,2227.0,,,,,-inf,False,timeout,
300_5_81,300,5,81,3625.0,3550.0,46.58,2.78,20.8,56.46,-inf,False,bend radius too small,12.6
552_12_198,552,12,198,5676.0,5344.8,,,,,-inf,False,timeout,
490_19_81,490,19,81,10165.0,9699.5,41.86,8.79,39.42,0.39,-inf,False,surface clearance too low,3.6
552_12_81,552,12,81,5676.0,5344.8,44.79,4.43,20.9,40.25,-161.24,True,,3.4
552_11_81,552,11,81,5203.0,4899.4,45.45,4.16,19.71,44.58,-60.46,True,,3.6
552_4_195,552,4,195,1892.0,1781.6,,,,,-inf,False,static analysis failed,56.8
