,Leftmost,,Rightmost,,Lower-Corner,
Arc length (m),X,Z,X,Z,X,Z
244,164.0002665,-99.9197882,166.4330434,-91.82908094,164.0002743,-99.9197883
245,165.000255,-99.91978624,167.1770263,-92.49729353,165.0002623,-99.91978633
246,166.0002436,-99.91978182,167.9330899,-93.15180532,166.0002504,-99.91978182
247,167.0002321,-99.91977456,168.7013737,-93.79192777,167.0002384,-99.91977431
248,168.0002206,-99.91976657,169.4820069,-94.41692994,168.0002265,-99.91976583
249,169.0002091,-99.91976576,170.2751128,-95.02602607,169.0002146,-99.91976432
250,170.0001977,-99.91978979,171.0808198,-95.61835233,170.0002026,-99.91978772
251,171.0001862,-99.91986757,171.899283,-96.19292294,171.0001907,-99.91986562
252,172.0001747,-99.9200307,172.7307236,-96.74854787,172.0001787,-99.92003072
253,173.0001632,-99.92028174,173.5754997,-97.28367892,173.0001667,-99.92028688
254,174.0001517,-99.9205236,174.4342265,-97.79612335,174.0001548,-99.92053765
255,175.0001402,-99.92044442,175.3079751,-98.28251193,175.0001428,-99.92046987
256,176.0001282,-99.9193925,176.1985743,-98.73731162,176.0001304,-99.91942754
257,177.0001122,-99.91636877,177.109003,-99.1509884,177.0001139,-99.91640499
258,178.000083,-99.91041879,178.0436504,-99.50657604,178.0000842,-99.91044349
259,179.0000351,-99.90188304,179.0074322,-99.77328201,179.0000357,-99.90188952
260,180,-99.895,180,-99.895,180,-99.895
