solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
768_14_10,768,14,10,3598.0,3060.4,,,,,-inf,False,timeout,
788_1_10,788,1,10,237.0,197.6,,,,,-inf,False,timeout,
788_7_66,788,7,66,1659.0,1383.2,,,,,-inf,False,timeout,
770_1_136,770,1,136,255.0,216.5,,,,,-inf,False,timeout,
770_8_10,770,8,10,2040.0,1732.0,,,,,-inf,False,timeout,
704_15_10,704,15,10,4815.0,4287.0,,,,,-inf,False,timeout,
653_14_161,653,14,161,5208.0,4750.9,,,,,-inf,False,timeout,
770_9_10,770,9,10,2295.0,1948.5,,,,,-inf,False,timeout,
682_14_176,682,14,176,4802.0,4324.6,,,,,-inf,False,timeout,
770_14_33,770,14,33,3570.0,3031.0,,,,,-inf,False,timeout,
552_14_11,552,14,11,6622.0,6235.6,,,,,-inf,False,timeout,
770_5_10,770,5,10,1275.0,1082.5,,,,,-inf,False,timeout,
790_14_40,790,14,40,3290.0,2737.0,,,,,-inf,False,timeout,
300_1_98,300,1,98,725.0,710.0,,,,,-inf,False,timeout,
432_14_136,432,14,136,8302.0,7999.6,,,,,-inf,False,timeout,
770_14_183,770,14,183,3570.0,3031.0,,,,,-inf,False,timeout,
653_14_10,653,14,10,5208.0,4750.9,,,,,-inf,False,timeout,
788_14_75,788,14,75,3318.0,2766.4,,,,,-inf,False,timeout,
770_14_136,770,14,136,3570.0,3031.0,,,,,-inf,False,timeout,
595_7_189,595,7,189,3010.0,2801.75,,,,,-inf,False,timeout,
702_15_96,702,15,96,4845.0,4318.5,,,,,-inf,False,timeout,
770_19_10,770,19,10,4845.0,4113.5,,,,,-inf,False,timeout,
770_16_10,770,16,10,4080.0,3464.0,,,,,-inf,False,timeout,
300_7_136,300,7,136,5075.0,4970.0,,,,,-inf,False,timeout,
788_15_200,788,15,200,3555.0,2964.0,,,,,-inf,False,timeout,
373_1_69,373,1,69,652.0,633.35,,,,,-inf,False,timeout,
404_7_136,404,7,136,4347.0,4205.6,,,,,-inf,False,timeout,
506_20_82,506,20,82,10380.0,9874.0,,,,,-inf,False,timeout,
686_7_10,686,7,10,2373.0,2132.9,,,,,-inf,False,timeout,
770_7_10,770,7,10,1785.0,1515.5,,,,,-inf,False,timeout,
770_15_23,770,15,23,3825.0,3247.5,,,,,-inf,False,timeout,
443_10_98,443,10,98,5820.0,5598.5,55.48,4.6,4.16,56.99,-inf,False,seabed clearance too low,25.3
788_20_176,788,20,176,4740.0,3952.0,,,,,-inf,False,timeout,
407_20_197,407,20,197,12360.0,11953.0,,,,,-inf,False,timeout,
779_18_113,779,18,113,4428.0,3726.9,,,,,-inf,False,timeout,
683_15_69,683,15,69,5130.0,4617.75,,,,,-inf,False,timeout,
788_14_47,788,14,47,3318.0,2766.4,,,,,-inf,False,timeout,
788_3_176,788,3,176,711.0,592.8,,,,,-inf,False,timeout,
770_17_136,770,17,136,4335.0,3680.5,,,,,-inf,False,timeout,
300_9_98,300,9,98,6525.0,6390.0,51.89,4.71,12.79,46.1,-inf,False,seabed clearance too low,23.9
770_6_10,770,6,10,1530.0,1299.0,,,,,-inf,False,timeout,
770_7_10,770,7,10,1785.0,1515.5,,,,,-inf,False,timeout,
465_15_136,465,15,136,8400.0,8051.25,,,,,-inf,False,timeout,
770_18_10,770,18,10,4590.0,3897.0,,,,,-inf,False,timeout,
300_7_136,300,7,136,5075.0,4970.0,,,,,-inf,False,timeout,
683_7_98,683,7,98,2394.0,2154.95,,,,,-inf,False,timeout,
788_10_10,788,10,10,2370.0,1976.0,,,,,-inf,False,timeout,
300_14_66,300,14,66,10150.0,9940.0,42.0,5.22,50.22,1.0,-inf,False,surface clearance too low,17.5
300_18_178,300,18,178,13050.0,12780.0,,,,,-inf,False,timeout,
770_7_154,770,7,154,1785.0,1515.5,,,,,-inf,False,timeout,
702_14_64,702,14,64,4522.0,4030.6,,,,,-inf,False,timeout,
750_2_98,750,2,98,550.0,475.0,73.63,1.89,0.51,95.37,-inf,False,"seabed clearance too low, bend radius too small",35.2
502_15_176,502,15,176,7845.0,7468.5,,,,,-inf,False,timeout,
354_7_136,354,7,136,4697.0,4573.1,,,,,-inf,False,timeout,
770_7_165,770,7,165,1785.0,1515.5,,,,,-inf,False,timeout,
653_4_10,653,4,10,1488.0,1357.4,,,,,-inf,False,timeout,
